id,timestamp,team_id,mission_time,packet_count,altitude,pressure,temperature,voltage,gps_lat,gps_lon,gps_alt,gps_sats,pitch,yaw,roll,state,error_code,source
114,2026-06-19 15:08:26,2026,00:00:01,1,47.1,100761.0,24.7,4.2,28.62892,77.21501,263.1,10,0.1,4.0,14.6,ASCENT,0000,SIM
115,2026-06-19 15:08:27,2026,00:00:02,2,94.0,100201.0,24.4,4.2,28.62892,77.21501,310.0,10,-1.6,6.2,27.1,ASCENT,0000,SIM
116,2026-06-19 15:08:28,2026,00:00:03,3,140.5,99648.0,24.1,4.19,28.62892,77.21501,356.5,10,-2.5,10.2,43.9,ASCENT,0000,SIM
117,2026-06-19 15:08:29,2026,00:00:04,4,186.5,99104.0,23.8,4.19,28.62892,77.21501,402.5,9,0.5,12.6,58.4,ASCENT,0000,SIM
118,2026-06-19 15:08:30,2026,00:00:05,5,231.8,98572.0,23.5,4.19,28.62892,77.21501,447.8,9,-0.1,13.9,75.2,ASCENT,0000,SIM
119,2026-06-19 15:08:31,2026,00:00:06,6,276.1,98052.0,23.2,4.19,28.62892,77.21501,492.1,12,-1.5,18.2,91.8,ASCENT,0000,SIM
120,2026-06-19 15:08:32,2026,00:00:07,7,319.3,97547.0,22.9,4.19,28.62892,77.21501,535.3,10,1.6,19.9,107.2,ASCENT,0000,SIM
121,2026-06-19 15:08:33,2026,00:00:08,8,361.3,97059.0,22.7,4.18,28.62892,77.21501,577.3,12,0.2,22.9,119.8,ASCENT,0000,SIM
122,2026-06-19 15:08:34,2026,00:00:09,9,401.9,96589.0,22.4,4.18,28.62892,77.21501,617.9,11,0.5,23.3,135.2,ASCENT,0000,SIM
123,2026-06-19 15:08:35,2026,00:00:10,10,440.8,96140.0,22.1,4.18,28.62892,77.21501,656.8,11,-2.4,27.6,151.1,ASCENT,0000,SIM
124,2026-06-19 15:08:36,2026,00:00:11,11,478.1,95712.0,21.9,4.18,28.62892,77.21501,694.1,11,-1.7,28.1,167.3,ASCENT,0000,SIM
125,2026-06-19 15:08:37,2026,00:00:12,12,513.4,95307.0,21.7,4.18,28.62892,77.21501,729.4,9,0.0,31.1,182.5,ASCENT,0000,SIM
126,2026-06-19 15:08:38,2026,00:00:13,13,546.7,94927.0,21.4,4.17,28.62892,77.21501,762.7,11,-0.9,33.5,199.9,ASCENT,0000,SIM
127,2026-06-19 15:08:39,2026,00:00:14,14,577.9,94573.0,21.2,4.17,28.62892,77.21501,793.9,10,0.6,33.0,214.6,ASCENT,0000,SIM
